Image,Codec,Param,BPP,PSNR,SSIM,EncTime,DecTime
kodim07,JPEG,80.0,1.2646891276041667,37.07884767417451,0.9612397790124102,0.007372280582785606,0.002952318638563156
kodim07,JPEG,90.0,1.8694254557291667,39.57668387248527,0.9736567434484701,0.004396469332277775,0.003293112851679325
kodim07,JPEG,95.0,2.7181396484375,41.87022341664631,0.9812848124325514,0.007068432867527008,0.0027623120695352554
kodim07,BPG,40.0,0.2994181315104167,30.626046003807083,0.8956410691599478,0.26800455804914236,0.18491272628307343
kodim07,BPG,35.0,0.4426472981770833,33.63113187037708,0.9340023347010585,0.2879058700054884,0.1836302075535059
kodim07,BPG,31.0,0.609130859375,36.08564193029991,0.954651869933912,0.30824277363717556,0.18946353439241648
kodim07,BPG,27.0,0.8465576171875,38.550573969700245,0.9678434837970583,0.3177504697814584,0.21495854668319225
kodim07,BPG,23.0,1.1915486653645833,40.77654956847663,0.9762269476140061,0.32860900554805994,0.21920163370668888
kodim07,BPG,19.0,1.7744140625,42.90777424955854,0.9831284457144053,0.3446472408249974,0.2254923926666379
kodim07,BPG,15.0,2.6341756184895835,44.94509663586405,0.9887846165094913,0.38520540576428175,0.23345893807709217
kodim07,JPEG-XL,5.0,0.4669392903645833,33.045299114988424,0.9287684981352579,0.16183482483029366,0.07166313659399748
kodim07,JPEG-XL,4.5,0.5127766927083334,33.40710493640771,0.9336878701711573,0.22486427426338196,0.08686197269707918
kodim07,JPEG-XL,3.5,0.6197306315104166,34.50849179251157,0.9437973623998133,0.18125227745622396,0.06995831150561571
kodim07,JPEG-XL,2.8,0.7355753580729166,35.55649757972965,0.9531749935942765,0.18661953695118427,0.08824590779840946
kodim07,JPEG-XL,1.7,1.0393880208333333,37.70189258174717,0.9667831142668369,0.1619549933820963,0.06849375367164612
kodim07,JPEG-XL,1.0,1.4698689778645833,39.83043513098817,0.9755930452796201,0.17452031560242176,0.07204012852162123
kodim07,JPEG-XL,0.4,2.87548828125,43.272290019777806,0.9865896101135578,0.1727161593735218,0.07422846276313066
kodim08,JPEG,10.0,0.5213826497395834,23.645473525470777,0.7636124399121839,0.003529581241309643,0.002775406464934349
kodim08,JPEG,30.0,1.0419921875,27.534412115046404,0.8767413193858006,0.004283072426915169,0.003881806507706642
kodim08,JPEG,50.0,1.40625,29.425810313069213,0.9102675712637093,0.004024524241685867,0.0020812274888157845
kodim08,JPEG,70.0,1.8863118489583333,31.43902247613269,0.936315120455229,0.004554401151835918,0.0026869997382164
kodim08,JPEG,80.0,2.3458455403645835,33.13255577119025,0.9523486561437462,0.007225902751088142,0.0025258660316467285
kodim08,JPEG,90.0,3.3676554361979165,36.2305398319161,0.9730549140061772,0.005981834605336189,0.00445227324962616
kodim08,JPEG,95.0,4.705891927083333,39.18476317254549,0.98574105532943,0.006436419673264027,0.004191556945443153
kodim08,BPG,40.0,0.5315958658854166,26.45856878471401,0.8448242454619909,0.3009776100516319,0.1964865457266569
kodim08,BPG,35.0,0.8651326497395834,29.625796376230035,0.9079490299886012,0.3061131704598665,0.18855547718703747
kodim08,BPG,31.0,1.2694498697916667,32.234447349857064,0.9428817736918435,0.34393967874348164,0.21515021566301584
kodim08,BPG,27.0,1.80816650390625,34.96053761265791,0.9666325629127482,0.334619477391243,0.21553026046603918
kodim08,BPG,23.0,2.5001220703125,37.73394684642637,0.9812622108440577,0.3589542964473367,0.21213325671851635
kodim08,BPG,19.0,3.3336385091145835,40.45302209680082,0.9894874871766989,0.37502441368997097,0.20626238361001015
kodim08,BPG,15.0,4.306925455729167,42.88896661133062,0.993539811321328,0.395803676918149,0.20434497483074665
kodim08,JPEG-XL,5.0,0.8009033203125,28.374836731503848,0.8848148316761512,0.19095466192811728,0.08899874240159988
kodim08,JPEG-XL,4.5,0.8766682942708334,28.881933809731166,0.8935156617386903,0.18167649768292904,0.0801257649436593
kodim08,JPEG-XL,3.5,1.08001708984375,30.287234682411626,0.9156301602980074,0.19046337250620127,0.08705846220254898
kodim08,JPEG-XL,2.8,1.3000895182291667,31.543733749812894,0.9328574389545583,0.16299187391996384,0.08558817580342293
kodim08,JPEG-XL,1.7,1.884765625,34.245003102326294,0.960802532758501,0.2077636495232582,0.07763637695461512
kodim08,JPEG-XL,1.0,2.7262776692708335,37.19620858230883,0.9798848520328823,0.17778264824301004,0.0729467710480094
kodim08,JPEG-XL,0.4,4.474161783854167,41.434702496493216,0.9923792865849048,0.1702571902424097,0.08284618426114321
kodim09,JPEG,10.0,0.2668863932291667,28.552007911247866,0.8147373181472947,0.005396210588514805,0.0031745731830596924
kodim09,JPEG,30.0,0.4718424479166667,32.78103748113385,0.8921414899996832,0.0035172998905181885,0.0018388750031590462
kodim09,JPEG,50.0,0.6253662109375,34.52806563301249,0.913559357238403,0.0036590462550520897,0.0017062649130821228
